start_station_name,member_casual,number_of_rides
Damen Ave & 51st St,casual,129
Damen Ave & 51st St,member,37
Damen Ave & 59th St,casual,238
Damen Ave & 59th St,member,35
Damen Ave & 74th St,casual,43
Damen Ave & 74th St,member,24
Damen Ave & 80th St,member,2
Damen Ave & 84th St,casual,1
Damen Ave & Charleston St,casual,3207
Damen Ave & Charleston St,member,3419
Damen Ave & Chicago Ave,casual,4490
Damen Ave & Chicago Ave,member,7096
Damen Ave & Clybourn Ave,casual,2032
Damen Ave & Clybourn Ave,member,2995
Damen Ave & Cortland St,casual,6170
Damen Ave & Cortland St,member,6863
Damen Ave & Coulter St,casual,353
Damen Ave & Coulter St,member,517
Damen Ave & Cullerton St,casual,1352
Damen Ave & Cullerton St,member,1981
Damen Ave & Division St,casual,3900
Damen Ave & Division St,member,5815
Damen Ave & Foster Ave,casual,1974
Damen Ave & Foster Ave,member,3138
Damen Ave & Grand Ave,casual,2157
Damen Ave & Grand Ave,member,4035
Damen Ave & Leland Ave,casual,2106
Damen Ave & Leland Ave,member,4060
Damen Ave & Madison St,casual,1377
Damen Ave & Madison St,member,1704
Damen Ave & Melrose Ave,casual,1865
Damen Ave & Melrose Ave,member,2326
Damen Ave & Pershing Rd,casual,229
Damen Ave & Pershing Rd,member,242
Damen Ave & Pierce Ave,casual,9871
Damen Ave & Pierce Ave,member,13341
Damen Ave & Sunnyside Ave,casual,1498
Damen Ave & Sunnyside Ave,member,2725
Damen Ave & Thomas St (Augusta Blvd),casual,3291
Damen Ave & Thomas St (Augusta Blvd),member,5218
Damen Ave & Wabansia Ave,casual,1476
Damen Ave & Wabansia Ave,member,1603
Damen Ave & Walnut (Lake) St,casual,1378
Damen Ave & Walnut (Lake) St,member,1981
Damen Ave & Wellington Ave,casual,2736
Damen Ave & Wellington Ave,member,2855
Dauphin Ave & 103rd St,casual,88
Dauphin Ave & 103rd St,member,35
Dauphin Ave & 87th St,casual,123
Dauphin Ave & 87th St,member,84
Dayton St & North Ave,casual,4608
Dayton St & North Ave,member,7796
Dearborn Pkwy & Delaware Pl,casual,7889
Dearborn Pkwy & Delaware Pl,member,14605
Dearborn St & Adams St,casual,3389
Dearborn St & Adams St,member,6066
Dearborn St & Erie St,casual,9578
Dearborn St & Erie St,member,17008
Dearborn St & Monroe St,casual,5896
Dearborn St & Monroe St,member,13050
Dearborn St & Van Buren St,casual,2775
Dearborn St & Van Buren St,member,4107
Delano Ct & Roosevelt Rd,casual,3125
Delano Ct & Roosevelt Rd,member,4468
Desplaines St & Jackson Blvd,casual,3341
Desplaines St & Jackson Blvd,member,8994
Desplaines St & Kinzie St,casual,6990
Desplaines St & Kinzie St,member,14878
Desplaines St & Randolph St,casual,4155
Desplaines St & Randolph St,member,7698
Divvy Valet - Oakwood Beach,casual,11
Divvy Valet - Oakwood Beach,member,1
Dodge Ave & Church St,casual,452
Dodge Ave & Church St,member,631
Dodge Ave & Main St,casual,282
Dodge Ave & Main St,member,349
Dodge Ave & Mulford St,casual,276
Dodge Ave & Mulford St,member,259
Dorchester Ave & 49th St,casual,547
Dorchester Ave & 49th St,member,816
Dorchester Ave & 63rd St,casual,483
Dorchester Ave & 63rd St,member,421
Doty Ave & 111th St,casual,161
Doty Ave & 111th St,member,22
Drake Ave & Addison St,casual,781
Drake Ave & Addison St,member,1157
Drake Ave & Montrose Ave,casual,633
Drake Ave & Montrose Ave,member,962
Drexel Ave & 87th St,casual,1
Drexel Ave & 87th St,member,2
DuSable Lake Shore Dr & Belmont Ave,casual,11195
DuSable Lake Shore Dr & Belmont Ave,member,10960
DuSable Lake Shore Dr & Diversey Pkwy,casual,11086
DuSable Lake Shore Dr & Diversey Pkwy,member,12871
DuSable Lake Shore Dr & Monroe St,casual,33008
DuSable Lake Shore Dr & Monroe St,member,9706
DuSable Lake Shore Dr & North Blvd,casual,25244
DuSable Lake Shore Dr & North Blvd,member,17426
DuSable Lake Shore Dr & Wellington Ave,casual,9616
DuSable Lake Shore Dr & Wellington Ave,member,11112
DuSable Museum,casual,457
DuSable Museum,member,620
Dusable Harbor,casual,14925
Dusable Harbor,member,5586
East End Ave & 75th St,member,2
East End Ave & 87th St,casual,73
East End Ave & 87th St,member,81
Eastlake Ter & Howard St,casual,207
Eastlake Ter & Howard St,member,410
